RiverName,RiverCode,Date,Center Latitude,Center Longitude,WaterTemp,mmHg,DO%,DOmg.L,C.us.-cm,pH.mV,ORP.mV,Mean.Depth,Mean.Flow
Garia Brook,GBK,17-Aug-20,47.748413,-58.527114,18.3,760.4,86.3,8.1,25.0,-16.0,125.0,0.3,0.4
North West Brook (Bay La Moine),NBM,17-Aug-20,47.676672,-58.603651,18.0,761.9,78.2,7.4,15.2,86.7,242.0,0.5,0.3
Grand Bay,GBR,18-Aug-20,47.610301,-59.145446,17.3,754.9,86.5,8.2,28.3,-16.4,217.6,0.2,0.2
La Poile ,LPR,19-Aug-20,47.837288,-58.287129,16.1,754.6,84.5,8.3,19.3,-2.0,147.8,0.3,0.8
Cinq Cerf,CCR,19-Aug-20,47.713887,-58.143028,18.0,757.0,86.0,8.1,17.8,43.1,176.3,0.3,1.2
Couteau Brook,CBR,19-Aug-20,47.749252,-58.026688,20.3,756.9,84.7,7.7,16.1,46.3,178.2,0.2,1.3
Grandy Brook (Burnt Islands),GNB,20-Aug-20,47.626279,-58.830747,17.5,755.0,78.0,7.4,21.8,16.4,185.8,0.3,0.7
Connoire,CON,20-Aug-20,47.751447,-57.909456,19.5,755.0,82.5,7.6,12.0,8.8,180.3,0.6,1.3
Grandy Brook (Burgeo),GND,20-Aug-20,47.715396,-57.697406,21.2,755.3,87.4,7.7,16.7,21.9,170.6,0.3,0.8
Isle aux Mort,IAM,21-Aug-20,47.601679,-59.005841,16.8,757.4,83.5,8.1,23.3,3.7,160.0,0.2,0.7
Farmer's Brook,FRM,21-Aug-20,47.664951,-58.501420,20.5,757.1,82.8,7.5,16.9,84.2,224.5,0.3,0.8
East Bay Brook,EBB,21-Aug-20,47.767065,-58.249129,19.0,756.8,85.3,7.9,14.9,13.4,211.3,0.3,0.6
Baie de Loup Brook (Near Burgeo),BLB,21-Aug-20,47.662659,-57.515576,18.5,757.0,85.2,8.0,14.9,70.1,244.4,0.4,0.5
Little Codroy,LCO,22-Aug-20,47.788209,-59.231692,15.8,758.1,72.8,7.3,79.0,-15.1,209.6,0.4,0.2
Barachois River (Cape Ray),BRC,22-Aug-20,47.633734,-59.253000,16.3,758.4,84.8,8.3,35.9,-16.2,143.5,0.2,0.3
Grand Codroy,COD,22-Aug-20,47.860406,-59.163849,18.8,758.4,87.4,8.1,187.0,-67.2,228.2,0.5,0.5
Bear Cove Brook,BCB,22-Aug-20,47.666478,-59.303235,23.2,758.9,81.3,7.0,92.9,-59.7,178.3,0.3,0.4
Burnt Island River,BIR,22-Aug-20,47.610459,-58.870718,20.4,759.3,80.7,7.3,24.5,83.2,246.9,0.1,0.3
