RiverName,RiverCode,Date,Center Latitude,Center Longitude,WaterTemp,kPa,DO%,DOmg.L,C.us.-cm,pH,pH.mV,ORP.mV,Depth1,Depth2,Mean.Depth,Mean.Flow
Pinware River,PIN,23-Aug-21,51.690240,-56.690980,18.6,101.1,104.6,9.9,22.5,6.9,0.6,182.2,0.4,0.5,0.5,0.5
Forteau Brook,FOR,23-Aug-21,51.500510,-56.949820,20.2,101.2,115.1*,10.4,42.2,7.6,-44.7,216.6,0.4,0.4,0.6,0.6
Alexis River,ALX,25-Aug-21,52.635030,-56.647380,15.3,101.0,98.9,9.9,26.9,6.8,6.7,158.7,0.7,0.2,0.6,0.2
St. Michael's River,STM,25-Aug-21,52.808300,-56.187010,16.3,101.2,108.2,10.7,18.5,6.8,6.1,192.2,0.4,0.2,0.2,0.2
Temple Brook,TMP,25-Aug-21,52.027570,-56.000650,17.6,101.2,119.0,11.3,20.3,6.7,15.1,237.6,0.2,0.1,0.2,0.4
St. Charles River,CHR,25-Aug-21,52.239700,-55.856530,21.0,101.3,108.5,9.7,23.6,6.6,16.4,152.1,0.3,0.3,0.4,0.1
Shinney's River,SHR,25-Aug-21,52.594360,-56.053220,17.9,101.4,106.7,10.1,18.1,5.9,63.2,270.8,0.2,0.3,0.3,0.5
Shinney's River (side channel),SHR,25-Aug-21,52.593840,-56.052350,,,,,,,,,,,0.3,0.4
Hawke River,HWK,26-Aug-21,53.028600,-56.198990,16.5,102.0,124.2,12.1,27.6,7.0,-5.3,144.8,0.2,0.2,0.3,0.4
Sandhill,SAN,26-Aug-21,53.548040,-56.393100,16.2,101.8,107.4,10.2,16.9,6.4,32.1,201.8,0.2,0.4,0.4,0.2
Paradise River,PAR,26-Aug-21,53.422820,-57.236900,17.6,101.6,115.4,11.0,28.4,6.9,-2.7,203.6,0.2,0.2,0.3,0.2
Muddy Bay Brook,MBB,26-Aug-21,53.616100,-57.035600,17.3,101.5,100.9,9.6,25.7,7.0,-6.1,219.3,0.3,0.3,0.3,0.3
Notakwanon River,NOT,27-Aug-21,56.016230,-61.534220,15.1,101.8,118.0,11.8,23.1,7.0,-6.1,207.2,0.3,0.3,0.5,0.4
River 109,109,28-Aug-21,58.270710,-63.594750,10.7,102.0,125.0,13.8,46.6,7.5,-37.7,145.8,0.4,0.6,0.7,0.0
River 105,105,28-Aug-21,58.069340,-63.343350,12.1,101.9,121.1,13.0,30.5,6.8,5.0,150.6,0.7,0.7,0.5,0.6
River 103,103,28-Aug-21,58.059200,-63.042840,13.4,101.9,123.3,12.7,46.1,6.9,-0.7,153.1,0.3,0.4,0.2,0.5
Ikarut River,IKA,28-Aug-21,58.155930,-63.086660,16.4,101.8,111.8,10.8,60.4,6.6,19.6,172.1,0.3,0.5,0.3,0.4
Pangertok River,PAN,28-Aug-21,58.358290,-63.166880,15.1,101.8,121.1,12.2,44.7,7.1,-8.0,160.0,0.2,0.2,0.3,0.4
Tor Bay Brook,TOR,28-Aug-21,58.467170,-62.823150,16.8,101.9,109.5,10.7,62.5,7.7,-48.6,196.0,0.3,0.3,0.3,0.3
Siguak River,SIU,29-Aug-21,57.599610,-62.108010,13.2,102.0,118.9,12.4,48.1,7.5,-30.4,150.9,0.2,0.3,0.3,0.8
North River (Okak),NRI,29-Aug-21,57.538710,-62.575610,14.1,102.0,115.2,11.7,41.5,7.0,-2.5,204.9,0.8,0.8,0.6,0.6
Kingurutik River,KIN,29-Aug-21,56.851530,-62.545940,14.6,101.9,121.2,12.3,21.0,7.1,-9.4,180.4,0.3,0.3,0.5,0.7
Fraser River,FRA,29-Aug-21,,,14.5,101.9,129.1,12.9,52.6,7.3,-24.2,134.0,0.1,0.1,0.1,0.1
Hunt River,HUR,29-Aug-21,55.534180,-60.694580,16.6,101.9,104.1,10.0,31.2,7.5,-34.1,17.1,0.6,0.3,0.4,0.5
Kogulak River,KGK,29-Aug-21,56.172720,-61.738710,15.7,101.7,108.9,10.9,33.5,7.0,-17.8,243.8,0.7,1.0,0.6,0.2
River 72,R72,30-Aug-21,55.119090,-60.115750,14.9,101.2,115.5,11.6,14.3,6.3,38.9,194.5,0.2,0.4,0.4,0.9
English River,ENG,30-Aug-21,54.970090,-59.749010,15.7,101.2,117.6,11.7,13.9,6.3,34.4,233.0,0.2,0.5,0.5,0.6
Jeanette Bay Brook,JBB,30-Aug-21,54.720230,-58.078500,14.4,101.3,119.3,12.0,18.0,6.1,51.9,277.6,0.4,0.6,0.4,0.5
Michaels River ,MIC,30-Aug-21,54.678900,-57.810670,15.6,101.2,118.9,11.8,17.0,6.2,43.8,184.2,0.9,0.9,0.6,0.6
Sebaskachu River,SBC,30-Aug-21,53.789860,-60.142500,16.1,100.7,115.0,11.3,11.4,5.8,65.6,204.1,0.4,0.4,0.3,0.9
Flatwater Brook,FLW,31-Aug-21,54.169860,-57.609870,10.1,100.9,124.1,13.8,29.8,6.9,-1.5,-319.5,0.2,0.3,0.3,0.4
North River,NTH,31-Aug-21,53.822960,-57.253280,13.8,100.8,102.7,10.4,16.4,7.1,-11.9,241.0,0.4,0.8,0.8,0.2
English River (Lake Mel),ERL,31-Aug-21,53.890210,-58.852410,14.8,100.6,88.0,8.9,8.8,6.2,45.1,215.0,0.2,0.7,0.8,0.6
Partridge Pond Brook ,PPB,31-Aug-21,54.042190,-59.499130,12.3,100.6,113.8,12.1,12.6,5.3,96.1,252.7,0.2,0.3,0.4,0.8
Susan River ,SUS,31-Aug-21,53.738310,-61.005750,12.6,100.6,104.9,11.2,13.9,6.3,37.8,196.6,0.2,0.4,0.7,0.6
Beaver River,BEV,31-Aug-21,53.730790,-60.959430,13.6,100.5,105.2,10.8,12.0,6.4,29.1,197.1,0.3,0.4,0.6,0.3
Crooked River,CKR,1-Sep-21,,,13.8,101.1,112.2,11.6,9.6,6.1,48.1,223.1,0.2,0.4,0.8,0.4
Cape Caribou River,CAC,1-Sep-21,53.622170,-60.415010,13.5,101.0,110.6,11.6,13.8,6.6,19.3,169.4,0.2,0.4,0.5,0.5
Goose River ,GOS,1-Sep-21,53.386490,-60.384100,13.6,101.0,110.5,11.5,13.9,6.4,29.8,191.2,0.2,0.7,0.6,0.4
Traverspine River,TSP,1-Sep-21,53.251340,-60.280280,13.1,101.0,114.4,12.0,19.0,6.5,23.6,178.0,0.3,0.3,0.5,0.8
