year,site
2019,CHR2019
2020,BIR
2020,CBB
2020,DBB
2020,GAR
2020,HIR
2020,NBM
2020,NGB
2020,ROB
2020,SHC
2020,SLM
2020,SLR
2020,WBR
2019,1042019
2019,1092019
2019,1102019
2019,AVA2019
2019,BLD2019
2019,BRG2019
2019,CCB2019
2019,CHR2019
2019,DBL2019
2019,EGL2019
2019,ENG2019
2019,FOR2019
2019,IKA2019
2019,IKI2019
2019,KAN2019
2019,KIN2019
2019,KLK2019
2019,LAL2019
2019,MBB2019
2019,MLR2019
2019,NAC2019
2019,NAS2019
2019,NOR2019
2019,PIN2019
2019,SLW2019
2019,TOM32019
2020,ANC
2020,BBK
2020,BCB
2020,BDN
2020,BIR
2020,BLA
2020,BLB
2020,BRA
2020,BRB
2020,BRC
2020,BSA
2020,BVR
2020,BYR
2020,CBB
2020,CBC
2020,CBR
2020,CCD
2020,CCR
2020,CMP
2020,CNR
2020,COD
2020,CON
2020,COO
2020,CRB
2020,CRI
2020,CUS
2020,DBB
2020,DHR
2020,EBB
2020,EDI
2020,FHB
2020,FRM
2020,GAR
2020,GBB
2020,GBK
2020,GBR
2020,GBW
2020,GLP
2020,GNB
2020,GND
2020,GRR
2020,HDB
2020,HHR
2020,HIR
2020,HMP
2020,HRR
2020,IAM
2020,IBR
2020,KHB
2020,LAM
2020,LBP
2020,LCO
2020,LHR
2020,LIB
2020,LPR
2020,LRD
2020,MBP
2020,MBR
2020,MDB
2020,NBM
2020,NBR
2020,NGB
2020,NON
2020,NRP
2020,NRR
2020,NTR
2020,NWR
2020,PHR
2020,PIB
2020,PLR
2020,PRR
2020,RAR
2020,RGT
2020,RHA
2020,RHR
2020,RNR
2020,ROB
2020,SCB
2020,SCT
2020,SDB
2020,SEB
2020,SHA
2020,SHC
2020,SHI
2020,SIM
2020,SLM
2020,SLR
2020,SOR
2020,SYR
2020,TER
2020,TIB
2020,TNR
2020,TRB
2020,TRR
2020,WAB
2020,WBR
2020,WOO
2021,ALX21
2021,CHR21
2021,FOR21
2021,HUR21
2021,IKA21
2021,NRI21
2021,NTH21
2021,PAN21
2021,PAR21
2021,PIN21
2021,SAN21
2021,SHR21
2021,STM21
2021,TMP21
2019,CCB2019
2019,CHR2019
2019,FOR2019
2019,HUR2019
2019,MBB2019
2019,PIN2019
2019,SLW2019
2020,ANC
2020,BBK
2020,BCB
2020,BDN
2020,BIR
2020,BLA
2020,BLB
2020,BRA
2020,BRB
2020,BRC
2020,BSA
2020,BVR
2020,BYR
2020,CBB
2020,CBC
2020,CBR
2020,CCD
2020,CCR
2020,CMP
2020,CNR
2020,COD
2020,CON
2020,CRB
2020,CRI
2020,CUS
2020,DBB
2020,DHR
2020,EBB
2020,EDI
2020,FHB
2020,FRM
2020,GAR
2020,GBB
2020,GBK
2020,GBR
2020,GBW
2020,GLP
2020,GNB
2020,GND
2020,GRR
2020,HDB
2020,HHR
2020,HIR
2020,HMP
2020,HRR
2020,IAM
2020,IBR
2020,KHB
2020,LAM
2020,LBP
2020,LCO
2020,LHR
2020,LIB
2020,LPR
2020,LRD
2020,MBP
2020,MBR
2020,MDB
2020,NBM
2020,NBR
2020,NGB
2020,NON
2020,NRP
2020,NRR
2020,NTR
2020,NWR
2020,PHR
2020,PIB
2020,PLR
2020,PRR
2020,RAR
2020,RGT
2020,RHA
2020,RHR
2020,RNR
2020,ROB
2020,SCB
2020,SCT
2020,SDB
2020,SHA
2020,SHC
2020,SHI
2020,SIM
2020,SLM
2020,SLR
2020,SOR
2020,SYR
2020,TER
2020,TIB
2020,TNR
2020,TRB
2020,TRR
2020,WAB
2020,WBR
2020,WOO
2021,ALX21
2021,CHR21
2021,FOR21
2021,GOS21
2021,NTH21
2021,PAR21
2021,PIN21
2021,SAN21
2021,SHR21
2021,STM21
2021,TMP21
2019,CCB2019
2019,CHR2019
2019,MBB2019
2019,PIN2019
2019,SLW2019
2020,ANC
2020,BBK
2020,BCB
2020,BDN
2020,BIR
2020,BLA
2020,BLB
2020,BRA
2020,BRB
2020,BRC
2020,BSA
2020,BVR
2020,BYR
2020,CBB
2020,CBC
2020,CBR
2020,CCD
2020,CCR
2020,CMP
2020,CNR
2020,COD
2020,CON
2020,CRB
2020,CRI
2020,CUS
2020,DBB
2020,DHR
2020,EBB
2020,EDI
2020,FHB
2020,FRM
2020,GAR
2020,GBK
2020,GBR
2020,GBW
2020,GLP
2020,GNB
2020,GND
2020,GRR
2020,HDB
2020,HHR
2020,HIR
2020,HMP
2020,HRR
2020,IAM
2020,IBR
2020,KHB
2020,LAM
2020,LBP
2020,LCO
2020,LHR
2020,LIB
2020,LRD
2020,MBP
2020,MBR
2020,MDB
2020,NBM
2020,NBR
2020,NGB
2020,NON
2020,NRP
2020,NTR
2020,NWR
2020,PHR
2020,PIB
2020,PLR
2020,PRR
2020,RAR
2020,RGT
2020,RHA
2020,RHR
2020,RNR
2020,ROB
2020,SCB
2020,SCT
2020,SDB
2020,SHC
2020,SHI
2020,SIM
2020,SLM
2020,SLR
2020,SOR
2020,SYR
2020,TER
2020,TNR
2020,TRB
2020,TRR
2020,WAB
2020,WBR
2020,WOO
2021,ALX21
2021,CHR21
2021,FOR21
2021,PAR21
2021,SAN21
2021,SHR21
2021,STM21
2021,TMP21
2019,CCB2019
2019,CHR2019
2019,MBB2019
2019,PIN2019
2019,SLW2019
2020,ANC
2020,BBK
2020,BCB
2020,BDN
2020,BIR
2020,BLA
2020,BLB
2020,BRA
2020,BRB
2020,BRC
2020,BSA
2020,BVR
2020,BYR
2020,CBB
2020,CBC
2020,CBR
2020,CCD
2020,CCR
2020,CMP
2020,CNR
2020,COD
2020,CRB
2020,CRI
2020,CUS
2020,DBB
2020,DHR
2020,EBB
2020,EDI
2020,FHB
2020,FRM
2020,GAR
2020,GBK
2020,GBR
2020,GBW
2020,GLP
2020,GNB
2020,GND
2020,GRR
2020,HDB
2020,HHR
2020,HIR
2020,HMP
2020,HRR
2020,IAM
2020,IBR
2020,KHB
2020,LAM
2020,LBP
2020,LCO
2020,LHR
2020,LIB
2020,LRD
2020,MBP
2020,MBR
2020,MDB
2020,NBM
2020,NBR
2020,NGB
2020,NON
2020,NRP
2020,NTR
2020,NWR
2020,PHR
2020,PIB
2020,PLR
2020,PRR
2020,RAR
2020,RGT
2020,RHA
2020,RHR
2020,RNR
2020,ROB
2020,SCB
2020,SCT
2020,SDB
2020,SHC
2020,SHI
2020,SIM
2020,SLM
2020,SLR
2020,SOR
2020,SYR
2020,TER
2020,TNR
2020,TRB
2020,TRR
2020,WAB
2020,WBR
2020,WOO
2021,ALX21
2021,CHR21
2021,FOR21
2021,PAR21
2021,SAN21
2021,SHR21
2021,STM21
2021,TMP21
2020,GAR
2020,GAR
2020,GAR
2020,GAR
2019,1092019
2019,ANA2019
2019,AVA2019
2019,DBL2019
2019,EGL2019
2019,HUR2019
2019,KAN2019
2019,KEN2019
2019,MLR2019
2019,NAS2019
2019,PAM2019
2019,PIN2019
2019,PRB2019
2019,SLW2019
2019,SUS2019
2019,TOM2019
2019,TOM32019
2020,BBK
2020,BIR
2020,CMP
2020,COD
2020,FIR
2020,GBK
2020,GND
2020,MDB
2020,NGB
2020,RGT
2020,WBR
2021,10521
2021,ALX21
2021,BEV21
2021,CAC21
2021,CRK21
2021,ERL21
2021,GOS21
2021,HUR21
2021,KGK21
2021,MIC21
2021,NOT21
2021,NTH21
2021,PAN21
2021,PAR21
2021,PIN21
2021,PPB21
2021,SBC21
2021,SHR21
2021,SUS21
2021,TMP21
2021,TSP21
2019,BRG2019
2019,DBL2019
2019,EGL2019
2019,HUR2019
2019,IKA2019
2019,KEN2019
2019,KIN2019
2019,KLK2019
2019,LAL2019
2019,MBB2019
2019,MLR2019
2019,NAS2019
2019,PRB2019
2019,SAN2019
2019,SUS2019
2019,SWA2019
2019,TOM2019
2019,TOM22019
2020,DHR
2020,IBR
2020,SLM
2020,WBR
2021,10921
2021,ALX21
2021,BEV21
2021,CAC21
2021,CHR21
2021,CRK21
2021,ERL21
2021,FRA21
2021,GOS21
2021,HUR21
2021,HWK21
2021,IKA21
2021,MBB21
2021,MIC21
2021,NOT21
2021,NTH21
2021,PAR21
2021,SAN21
2021,SBC21
2021,SIU21
2021,SUS21
2021,TSP21
2019,CHR2019
2019,DBL2019
2019,EGL2019
2019,HUR2019
2019,KEN2019
2019,MBB2019
2019,MLR2019
2019,NAS2019
2019,PAM2019
2019,PIN2019
2019,PRB2019
2019,SAN2019
2019,SLW2019
2019,SUS2019
2019,TOM2019
2019,TOM22019
2021,10521
