NC_006547.2_Anguilla_rostrata_mitochondrion,_complete_genome	0.001
NC_001717.1_Oncorhynchus_mykiss_mitochondrion,_complete_genome		75.24
NC_011580.1_Apeltes_quadracus_mitochondrion,_complete_genome	1.85
NC_012312.1_Fundulus_heteroclitus_mitochondrion,_complete_genome	1.85
NC_000861.1_Salvelinus_alpinus_mitochondrion,_complete_genome	1.85
NC_012361.1_Fundulus_diaphanus_mitochondrion,_complete_genome	1.85
NC_001960.1_Salmo_salar_mitochondrion,_complete_genome		1.85
NC_009576.1_Alosa_pseudoharengus_mitochondrion,_complete_genome		1.85
NC_001626.1_Petromyzon_marinus_mitochondrion,_complete_genome	1.85
NC_011571.1_Pungitius_pungitius_mitochondrion,_complete_genome	1.85
NC_041244.1_Gasterosteus_aculeatus_mitochondrion,_complete_genome	1.85
NC_015246.1_Osmerus_mordax_mitochondrion,_complete_genome	1.85
NC_014690.1_Alosa_sapidissima_mitochondrion,_complete_genome	1.85
NC_011570.1_Gasterosteus_wheatlandi_mitochondrion,_complete_genome	1.85
NC_000860.1_Salvelinus_fontinalis_mitochondrion,_complete_genome	1.85
