NC_036392.1_Salvelinus_namaycush_strain_NEFC_F16-146_mitochondrion,_complete_genome	0.001
MW856889.1_Couesius_plumbeus_isolate_F19-414_mitochondrion,_complete_genome	75.24
NC_015246.1_Osmerus_mordax_mitochondrion,_complete_genome	1.85
NC_006547.2_Anguilla_rostrata_mitochondrion,_complete_genome	1.85
NC_028277.1_Cottus_bairdii_voucher_LodgeLab_Cbairdii_1_mitochondrion,_complete_genome	1.85
NC_041244.1_Gasterosteus_aculeatus_mitochondrion,_complete_genome	1.85
NC_009576.1_Alosa_pseudoharengus_mitochondrion,_complete_genome		1.85
MW856892.1_Percina_caprodes_isolate_F19-472_mitochondrion,_complete_genome	1.85
NC_001960.1_Salmo_salar_mitochondrion,_complete_genome		1.85
NC_037013.1_Catostomus_catostomus_isolate_NEFC_F16-592_mitochondrion,_complete_genome	1.85
NC_020762.1_Coregonus_clupeaformis_mitochondrion,_complete_genome	1.85
#KP644368.1_Microgadus_tomcod_isolate_5884_12S_ribosomal_RNA_gene,_partial_sequence;_mitochondrial	1.85
NC_033944.1_Rhinichthys_cataractae_mitochondrial_DNA,_complete_genome	1.85
NC_028290.1_Acipenser_oxyrinchus_voucher_LodgeLab_Aoxyrinchus_1_mitochondrion,_complete_genome	1.85
NC_014690.1_Alosa_sapidissima_mitochondrion,_complete_genome	1.85
